transaction_id,user_id,amount,merchant,category,time_of_day,device_type,location,is_fraud
1,1102,22.5,M010,travel,17,tablet,UK,0
2,1435,30.82,M009,travel,10,mobile,UK,0
3,1860,18.6,M013,electronics,13,desktop,UK,0
4,1270,10.05,M010,electronics,11,mobile,US,0
5,1106,54.32,M006,electronics,19,mobile,CA,0
6,1071,12.02,M011,travel,23,desktop,US,0
7,1700,18.86,M004,food,6,tablet,UK,0
8,1020,79.26,M014,electronics,16,tablet,UK,0
9,1614,17.98,M017,grocery,4,mobile,US,0
10,1121,6.6,M020,jewelry,21,desktop,CA,0
11,1466,38.18,M002,food,13,desktop,UK,0
12,1214,24.89,M010,travel,23,mobile,CA,0
13,1330,72.42,M003,grocery,12,tablet,UK,0
14,1458,10.8,M007,luxury,23,tablet,US,0
15,1087,139.34,M007,travel,11,tablet,UK,0
16,1372,236.69,M001,food,13,desktop,US,0
17,1099,136.04,M008,food,8,desktop,US,0
18,1871,76.11,M001,food,3,desktop,US,0
19,1663,197.09,M008,clothing,21,tablet,UK,1
20,1130,118.72,M014,jewelry,18,mobile,CA,0
21,1661,1.06,M014,electronics,0,desktop,CA,0
22,1308,50.1,M002,clothing,12,desktop,UK,0
23,1769,190.35,M008,jewelry,5,mobile,US,0
24,1343,42.44,M019,travel,0,tablet,CA,0
25,1491,3.59,M010,electronics,21,desktop,CA,0
26,1413,137.11,M007,luxury,16,tablet,UK,0
27,1805,161.97,M013,clothing,2,desktop,US,0
28,1385,17.51,M015,clothing,16,desktop,CA,0
29,1191,77.08,M011,grocery,1,mobile,UK,0
30,1955,21.31,M014,luxury,21,mobile,UK,0
31,1276,127.02,M011,luxury,6,mobile,US,0
32,1160,31.68,M002,clothing,0,mobile,UK,0
33,1459,38.01,M002,food,20,tablet,US,0
34,1313,186.41,M012,travel,21,tablet,CA,0
35,1021,64.69,M015,luxury,14,tablet,UK,0
36,1252,110.79,M017,clothing,3,mobile,CA,0
37,1747,51.48,M014,food,5,desktop,US,0
38,1856,35.38,M016,jewelry,20,tablet,US,0
39,1560,98.21,M008,jewelry,12,mobile,US,0
40,1474,16.83,M017,luxury,22,mobile,UK,0
41,1058,46.68,M005,food,12,mobile,UK,0
42,1510,23.45,M012,grocery,19,tablet,UK,0
43,1681,119.01,M006,grocery,0,desktop,CA,0
44,1475,288.61,M018,jewelry,1,tablet,CA,0
45,1699,540.61,M005,travel,5,mobile,UK,0
46,1975,59.83,M006,clothing,10,mobile,CA,0
47,1782,29.11,M009,luxury,17,mobile,US,0
48,1189,58.49,M015,luxury,12,tablet,UK,0
49,1957,187.91,M010,jewelry,20,desktop,US,0
50,1686,23.07,M017,jewelry,11,tablet,US,0
51,1957,303.85,M019,food,19,mobile,US,0
52,1562,41.83,M012,grocery,6,mobile,CA,0
53,1875,425.48,M009,travel,19,mobile,US,0
54,1566,182.39,M015,food,6,tablet,CA,0
55,1243,165.32,M014,jewelry,23,tablet,US,0
56,1831,38.26,M001,electronics,6,tablet,UK,0
57,1504,0.88,M017,clothing,1,mobile,US,0
58,1130,48.15,M001,jewelry,10,tablet,US,0
59,1484,35.93,M013,food,0,desktop,UK,0
60,1818,3.81,M008,electronics,20,desktop,CA,0
61,1646,70.39,M013,electronics,12,desktop,UK,0
62,1020,51.59,M016,jewelry,11,tablet,US,0
63,1840,100.66,M002,travel,12,mobile,US,0
64,1166,97.07,M013,grocery,6,mobile,CA,0
65,1273,12.87,M018,electronics,11,mobile,US,0
66,1387,377.08,M003,luxury,16,mobile,US,0
67,1600,20.69,M013,clothing,7,mobile,CA,0
68,1315,58.93,M019,food,2,tablet,CA,0
69,1013,66.97,M013,food,6,desktop,CA,0
70,1241,167.7,M019,food,18,tablet,CA,1
71,1776,10.45,M004,luxury,19,mobile,US,0
72,1345,55.97,M019,jewelry,7,tablet,CA,0
73,1564,99.02,M018,food,13,tablet,CA,0
74,1897,24.23,M006,luxury,13,tablet,US,0
75,1339,98.74,M019,food,1,mobile,CA,0
76,1091,257.26,M004,clothing,5,mobile,US,0
77,1366,599.87,M004,luxury,15,mobile,CA,0
78,1955,3.3,M007,grocery,8,tablet,CA,0
79,1454,26.86,M007,travel,20,tablet,UK,0
80,1427,37.15,M016,jewelry,14,desktop,US,0
81,1508,50.94,M016,jewelry,18,desktop,CA,0
82,1775,27.74,M005,food,14,mobile,UK,0
83,1942,22.75,M015,clothing,21,desktop,UK,0
84,1034,309.12,M004,electronics,11,mobile,US,0
85,1205,250.74,M013,luxury,8,mobile,UK,0
86,1080,4.81,M019,food,15,tablet,US,0
87,1931,41.37,M007,luxury,5,desktop,UK,0
88,1561,51.94,M012,food,19,mobile,US,0
89,1871,27.31,M009,jewelry,14,mobile,CA,0
90,1387,99.12,M017,jewelry,12,desktop,US,0
91,1001,102.27,M002,food,20,desktop,UK,0
92,1389,190.05,M016,jewelry,22,desktop,US,0
93,1565,135.04,M007,clothing,9,desktop,CA,0
94,1105,78.21,M018,electronics,13,desktop,CA,0
95,1771,106.01,M007,electronics,2,desktop,UK,0
96,1821,32.02,M001,luxury,11,desktop,UK,0
97,1476,89.91,M003,electronics,0,mobile,UK,0
98,1702,67.18,M011,luxury,23,tablet,CA,0
99,1401,14.31,M015,food,20,mobile,CA,0
100,1729,27.78,M003,travel,15,mobile,UK,0
101,1555,34.49,M013,food,9,tablet,CA,0
102,1161,258.11,M004,food,8,tablet,CA,0
103,1201,26.19,M008,clothing,17,tablet,UK,0
104,1957,34.14,M004,electronics,0,desktop,CA,0
105,1995,46.1,M018,jewelry,9,desktop,UK,0
106,1269,108.99,M007,jewelry,6,desktop,CA,0
107,1862,12.58,M011,grocery,9,mobile,US,0
108,1815,307.79,M004,grocery,11,tablet,US,0
